Time,AHU2:DesPer 1:Des Heat Mass Flow [kg/s],AHU2:DesPer 1:Des Heat Cap [W],AHU2:DesPer 1:Des Cool Mass Flow [kg/s],AHU2:DesPer 1:Des Sens Cool Cap [W],AHU2:DesPer 1:Des Tot Cool Cap [W],AHU2:DesPer 2:Des Heat Mass Flow [kg/s],AHU2:DesPer 2:Des Heat Cap [W],AHU2:DesPer 2:Des Cool Mass Flow [kg/s],AHU2:DesPer 2:Des Sens Cool Cap [W],AHU2:DesPer 2:Des Tot Cool Cap [W],AHU2:DesPer 3:Des Heat Mass Flow [kg/s],AHU2:DesPer 3:Des Heat Cap [W],AHU2:DesPer 3:Des Cool Mass Flow [kg/s],AHU2:DesPer 3:Des Sens Cool Cap [W],AHU2:DesPer 3:Des Tot Cool Cap [W],AHU1:DesPer 1:Des Heat Mass Flow [kg/s],AHU1:DesPer 1:Des Heat Cap [W],AHU1:DesPer 1:Des Cool Mass Flow [kg/s],AHU1:DesPer 1:Des Sens Cool Cap [W],AHU1:DesPer 1:Des Tot Cool Cap [W],AHU1:DesPer 2:Des Heat Mass Flow [kg/s],AHU1:DesPer 2:Des Heat Cap [W],AHU1:DesPer 2:Des Cool Mass Flow [kg/s],AHU1:DesPer 2:Des Sens Cool Cap [W],AHU1:DesPer 2:Des Tot Cool Cap [W],AHU1:DesPer 3:Des Heat Mass Flow [kg/s],AHU1:DesPer 3:Des Heat Cap [W],AHU1:DesPer 3:Des Cool Mass Flow [kg/s],AHU1:DesPer 3:Des Sens Cool Cap [W],AHU1:DesPer 3:Des Tot Cool Cap [W],AHU3:DesPer 1:Des Heat Mass Flow [kg/s],AHU3:DesPer 1:Des Heat Cap [W],AHU3:DesPer 1:Des Cool Mass Flow [kg/s],AHU3:DesPer 1:Des Sens Cool Cap [W],AHU3:DesPer 1:Des Tot Cool Cap [W],AHU3:DesPer 2:Des Heat Mass Flow [kg/s],AHU3:DesPer 2:Des Heat Cap [W],AHU3:DesPer 2:Des Cool Mass Flow [kg/s],AHU3:DesPer 2:Des Sens Cool Cap [W],AHU3:DesPer 2:Des Tot Cool Cap [W],AHU3:DesPer 3:Des Heat Mass Flow [kg/s],AHU3:DesPer 3:Des Heat Cap [W],AHU3:DesPer 3:Des Cool Mass Flow [kg/s],AHU3:DesPer 3:Des Sens Cool Cap [W],AHU3:DesPer 3:Des Tot Cool Cap [W],AHU5:DesPer 1:Des Heat Mass Flow [kg/s],AHU5:DesPer 1:Des Heat Cap [W],AHU5:DesPer 1:Des Cool Mass Flow [kg/s],AHU5:DesPer 1:Des Sens Cool Cap [W],AHU5:DesPer 1:Des Tot Cool Cap [W],AHU5:DesPer 2:Des Heat Mass Flow [kg/s],AHU5:DesPer 2:Des Heat Cap [W],AHU5:DesPer 2:Des Cool Mass Flow [kg/s],AHU5:DesPer 2:Des Sens Cool Cap [W],AHU5:DesPer 2:Des Tot Cool Cap [W],AHU5:DesPer 3:Des Heat Mass Flow [kg/s],AHU5:DesPer 3:Des Heat Cap [W],AHU5:DesPer 3:Des Cool Mass Flow [kg/s],AHU5:DesPer 3:Des Sens Cool Cap [W],AHU5:DesPer 3:Des Tot Cool Cap [W],AHU4:DesPer 1:Des Heat Mass Flow [kg/s],AHU4:DesPer 1:Des Heat Cap [W],AHU4:DesPer 1:Des Cool Mass Flow [kg/s],AHU4:DesPer 1:Des Sens Cool Cap [W],AHU4:DesPer 1:Des Tot Cool Cap [W],AHU4:DesPer 2:Des Heat Mass Flow [kg/s],AHU4:DesPer 2:Des Heat Cap [W],AHU4:DesPer 2:Des Cool Mass Flow [kg/s],AHU4:DesPer 2:Des Sens Cool Cap [W],AHU4:DesPer 2:Des Tot Cool Cap [W],AHU4:DesPer 3:Des Heat Mass Flow [kg/s],AHU4:DesPer 3:Des Heat Cap [W],AHU4:DesPer 3:Des Cool Mass Flow [kg/s],AHU4:DesPer 3:Des Sens Cool Cap [W],AHU4:DesPer 3:Des Tot Cool Cap [W],AHU6:DesPer 1:Des Heat Mass Flow [kg/s],AHU6:DesPer 1:Des Heat Cap [W],AHU6:DesPer 1:Des Cool Mass Flow [kg/s],AHU6:DesPer 1:Des Sens Cool Cap [W],AHU6:DesPer 1:Des Tot Cool Cap [W],AHU6:DesPer 2:Des Heat Mass Flow [kg/s],AHU6:DesPer 2:Des Heat Cap [W],AHU6:DesPer 2:Des Cool Mass Flow [kg/s],AHU6:DesPer 2:Des Sens Cool Cap [W],AHU6:DesPer 2:Des Tot Cool Cap [W],AHU6:DesPer 3:Des Heat Mass Flow [kg/s],AHU6:DesPer 3:Des Heat Cap [W],AHU6:DesPer 3:Des Cool Mass Flow [kg/s],AHU6:DesPer 3:Des Sens Cool Cap [W],AHU6:DesPer 3:Des Tot Cool Cap [W]
00:10:00,3.236206E+01,9.789025E+05,6.479900E+01,0.000000E+00,0.000000E+00,3.070364E+01,0.000000E+00,7.280104E+01,8.729936E+05,1.470729E+06,3.070364E+01,0.000000E+00,7.270141E+01,8.101785E+05,1.589092E+06,1.352706E+01,3.666041E+05,4.343620E+01,0.000000E+00,0.000000E+00,1.194586E+01,0.000000E+00,4.390347E+01,5.559188E+05,7.932002E+05,1.194586E+01,0.000000E+00,4.382675E+01,5.310251E+05,8.413365E+05,7.951043E+00,2.221129E+05,3.975506E+01,1.326281E+05,0.000000E+00,7.951043E+00,0.000000E+00,3.975506E+01,4.915036E+05,6.367290E+05,7.951043E+00,0.000000E+00,3.975506E+01,4.755218E+05,6.668875E+05,1.402766E+01,4.188656E+05,4.219047E+01,0.000000E+00,0.000000E+00,1.335636E+01,0.000000E+00,4.219047E+01,5.006673E+05,7.658111E+05,1.335636E+01,0.000000E+00,4.219047E+01,4.738168E+05,8.226604E+05,1.790477E+01,4.920374E+05,4.129331E+01,0.000000E+00,0.000000E+00,1.580756E+01,0.000000E+00,4.197548E+01,5.069639E+05,8.117354E+05,1.580756E+01,0.000000E+00,4.189754E+01,4.743131E+05,8.752121E+05,8.638106E+00,1.540549E+05,2.405018E+01,0.000000E+00,0.000000E+00,4.811865E+00,0.000000E+00,2.405018E+01,2.915193E+05,4.087541E+05,4.811865E+00,0.000000E+00,2.405018E+01,2.818438E+05,4.354988E+05
00:20:00,3.237222E+01,9.789037E+05,6.479900E+01,0.000000E+00,0.000000E+00,3.070364E+01,0.000000E+00,7.277959E+01,8.727617E+05,1.481656E+06,3.070364E+01,0.000000E+00,7.268000E+01,8.099443E+05,1.590951E+06,1.353839E+01,3.665134E+05,4.343620E+01,0.000000E+00,0.000000E+00,1.194586E+01,0.000000E+00,4.387992E+01,5.543660E+05,7.911686E+05,1.194586E+01,0.000000E+00,4.380318E+01,5.294724E+05,8.357269E+05,7.951043E+00,2.221129E+05,3.975506E+01,1.326281E+05,0.000000E+00,7.951043E+00,0.000000E+00,3.975506E+01,4.906493E+05,6.358701E+05,7.951043E+00,0.000000E+00,3.975506E+01,4.746677E+05,6.636681E+05,1.403180E+01,4.188254E+05,4.219047E+01,0.000000E+00,0.000000E+00,1.335636E+01,0.000000E+00,4.219047E+01,4.992337E+05,7.645204E+05,1.335636E+01,0.000000E+00,4.219047E+01,4.723839E+05,8.173064E+05,1.790746E+01,4.920219E+05,4.129331E+01,0.000000E+00,0.000000E+00,1.580756E+01,0.000000E+00,4.195374E+01,5.050227E+05,8.098857E+05,1.580756E+01,0.000000E+00,4.187587E+01,4.723733E+05,8.686015E+05,8.674581E+00,1.539254E+05,2.405018E+01,0.000000E+00,0.000000E+00,4.811865E+00,0.000000E+00,2.405018E+01,2.910047E+05,4.069380E+05,4.811865E+00,0.000000E+00,2.405018E+01,2.813296E+05,4.321280E+05
00:30:00,3.238192E+01,9.789048E+05,6.479900E+01,0.000000E+00,0.000000E+00,3.070364E+01,0.000000E+00,7.275869E+01,8.725604E+05,1.501070E+06,3.070364E+01,0.000000E+00,7.265916E+01,8.097404E+05,1.601314E+06,1.354919E+01,3.664274E+05,4.343620E+01,0.000000E+00,0.000000E+00,1.194586E+01,0.000000E+00,4.385713E+01,5.528203E+05,7.891031E+05,1.194586E+01,0.000000E+00,4.378036E+01,5.279265E+05,8.300830E+05,7.951043E+00,2.221129E+05,3.975506E+01,1.326281E+05,0.000000E+00,7.951043E+00,0.000000E+00,3.975506E+01,4.897946E+05,6.350161E+05,7.951043E+00,0.000000E+00,3.975506E+01,4.738132E+05,6.604589E+05,1.403578E+01,4.187868E+05,4.219047E+01,0.000000E+00,0.000000E+00,1.335636E+01,0.000000E+00,4.219047E+01,4.977980E+05,7.632924E+05,1.335636E+01,0.000000E+00,4.219047E+01,4.709485E+05,8.119938E+05,1.790986E+01,4.920081E+05,4.129331E+01,0.000000E+00,0.000000E+00,1.580756E+01,0.000000E+00,4.193277E+01,5.030880E+05,8.081130E+05,1.580756E+01,0.000000E+00,4.185497E+01,4.704397E+05,8.620629E+05,8.709583E+00,1.538004E+05,2.405018E+01,0.000000E+00,0.000000E+00,4.811865E+00,0.000000E+00,2.405018E+01,2.904886E+05,4.048592E+05,4.811865E+00,0.000000E+00,2.405018E+01,2.808137E+05,4.284475E+05
00:40:00,3.239131E+01,9.789058E+05,6.479900E+01,0.000000E+00,0.000000E+00,3.070364E+01,0.000000E+00,7.273833E+01,8.723621E+05,1.509874E+06,3.070364E+01,0.000000E+00,7.263885E+01,8.095392E+05,1.601117E+06,1.355966E+01,3.663444E+05,4.343620E+01,0.000000E+00,0.000000E+00,1.194586E+01,0.000000E+00,4.383504E+01,5.512824E+05,7.871260E+05,1.194586E+01,0.000000E+00,4.375826E+01,5.263884E+05,8.245449E+05,7.951043E+00,2.221129E+05,3.975506E+01,1.326281E+05,0.000000E+00,7.951043E+00,0.000000E+00,3.975506E+01,4.889398E+05,6.341614E+05,7.951043E+00,0.000000E+00,3.975506E+01,4.729585E+05,6.572633E+05,1.403969E+01,4.187489E+05,4.219047E+01,0.000000E+00,0.000000E+00,1.335636E+01,0.000000E+00,4.219047E+01,4.963619E+05,7.620667E+05,1.335636E+01,0.000000E+00,4.219047E+01,4.695127E+05,8.067077E+05,1.791216E+01,4.919950E+05,4.129331E+01,0.000000E+00,0.000000E+00,1.580756E+01,0.000000E+00,4.191250E+01,5.011609E+05,8.063580E+05,1.580756E+01,0.000000E+00,4.183478E+01,4.685137E+05,8.555714E+05,8.743560E+00,1.536790E+05,2.405018E+01,0.000000E+00,0.000000E+00,4.811865E+00,0.000000E+00,2.405018E+01,2.899724E+05,4.029468E+05,4.811865E+00,0.000000E+00,2.405018E+01,2.802976E+05,4.249366E+05
00:50:00,3.240045E+01,9.789068E+05,6.479900E+01,0.000000E+00,0.000000E+00,3.070364E+01,0.000000E+00,7.271849E+01,8.721635E+05,1.513601E+06,3.070364E+01,0.000000E+00,7.261906E+01,8.093379E+05,1.595887E+06,1.356982E+01,3.662641E+05,4.343620E+01,0.000000E+00,0.000000E+00,1.194586E+01,0.000000E+00,4.381364E+01,5.497523E+05,7.852192E+05,1.194586E+01,0.000000E+00,4.373683E+01,5.248582E+05,8.190943E+05,7.951043E+00,2.221129E+05,3.975506E+01,1.326281E+05,0.000000E+00,7.951043E+00,0.000000E+00,3.975506E+01,4.880849E+05,6.333066E+05,7.951043E+00,0.000000E+00,3.975506E+01,4.721038E+05,6.540813E+05,1.404353E+01,4.187117E+05,4.219047E+01,0.000000E+00,0.000000E+00,1.335636E+01,0.000000E+00,4.219047E+01,4.949258E+05,7.608447E+05,1.335636E+01,0.000000E+00,4.219047E+01,4.680769E+05,8.014481E+05,1.791440E+01,4.919823E+05,4.129331E+01,0.000000E+00,0.000000E+00,1.580756E+01,0.000000E+00,4.189291E+01,4.992413E+05,8.046189E+05,1.580756E+01,0.000000E+00,4.181526E+01,4.665952E+05,8.491237E+05,8.776633E+00,1.535604E+05,2.405018E+01,0.000000E+00,0.000000E+00,4.811865E+00,0.000000E+00,2.405018E+01,2.894561E+05,4.011822E+05,4.811865E+00,0.000000E+00,2.405018E+01,2.797815E+05,4.215781E+05
01:00:00,3.240935E+01,9.789078E+05,6.479900E+01,0.000000E+00,0.000000E+00,3.070364E+01,0.000000E+00,7.269913E+01,8.719659E+05,1.514758E+06,3.070364E+01,0.000000E+00,7.259977E+01,8.091377E+05,1.588128E+06,1.357970E+01,3.661864E+05,4.343620E+01,0.000000E+00,0.000000E+00,1.194586E+01,0.000000E+00,4.379289E+01,5.482297E+05,7.833702E+05,1.194586E+01,0.000000E+00,4.371605E+01,5.233353E+05,8.137190E+05,7.951043E+00,2.221129E+05,3.975506E+01,1.326281E+05,0.000000E+00,7.951043E+00,0.000000E+00,3.975506E+01,4.872301E+05,6.324514E+05,7.951043E+00,0.000000E+00,3.975506E+01,4.712490E+05,6.509129E+05,1.404731E+01,4.186751E+05,4.219047E+01,0.000000E+00,0.000000E+00,1.335636E+01,0.000000E+00,4.219047E+01,4.934897E+05,7.596254E+05,1.335636E+01,0.000000E+00,4.219047E+01,4.666410E+05,7.962134E+05,1.791656E+01,4.919700E+05,4.129331E+01,0.000000E+00,0.000000E+00,1.580756E+01,0.000000E+00,4.187394E+01,4.973287E+05,8.028919E+05,1.580756E+01,0.000000E+00,4.179636E+01,4.646837E+05,8.427153E+05,8.808865E+00,1.534444E+05,2.405018E+01,0.000000E+00,0.000000E+00,4.811865E+00,0.000000E+00,2.405018E+01,2.889397E+05,3.995490E+05,4.811865E+00,0.000000E+00,2.405018E+01,2.792653E+05,4.183567E+05
01:10:00,3.241802E+01,9.789142E+05,6.479900E+01,0.000000E+00,0.000000E+00,3.070364E+01,0.000000E+00,7.242303E+01,8.695823E+05,1.512101E+06,3.070364E+01,0.000000E+00,7.232374E+01,8.067510E+05,1.579486E+06,1.358932E+01,3.661110E+05,4.343620E+01,0.000000E+00,0.000000E+00,1.194586E+01,0.000000E+00,4.377277E+01,5.471424E+05,7.819565E+05,1.194586E+01,0.000000E+00,4.369591E+01,5.222477E+05,8.099157E+05,7.951043E+00,2.221129E+05,3.975506E+01,1.326281E+05,0.000000E+00,7.951043E+00,0.000000E+00,3.975506E+01,4.866601E+05,6.318910E+05,7.951043E+00,0.000000E+00,3.975506E+01,4.706791E+05,6.488024E+05,1.405104E+01,4.186390E+05,4.219047E+01,0.000000E+00,0.000000E+00,1.335636E+01,0.000000E+00,4.219047E+01,4.925323E+05,7.589662E+05,1.335636E+01,0.000000E+00,4.219047E+01,4.656839E+05,7.927938E+05,1.791866E+01,4.919580E+05,4.129331E+01,0.000000E+00,0.000000E+00,1.580756E+01,0.000000E+00,4.185558E+01,4.959895E+05,8.018226E+05,1.580756E+01,0.000000E+00,4.177808E+01,4.633455E+05,8.384693E+05,8.840305E+00,1.533307E+05,2.405018E+01,0.000000E+00,0.000000E+00,4.811865E+00,0.000000E+00,2.405018E+01,2.885956E+05,3.979818E+05,4.811865E+00,0.000000E+00,2.405018E+01,2.789213E+05,4.156178E+05
01:20:00,3.242642E+01,9.789264E+05,6.479900E+01,0.000000E+00,0.000000E+00,3.070364E+01,0.000000E+00,7.202796E+01,8.660444E+05,1.507759E+06,3.070364E+01,0.000000E+00,7.192874E+01,8.032104E+05,1.569214E+06,1.359852E+01,3.660320E+05,4.343620E+01,0.000000E+00,0.000000E+00,1.194586E+01,0.000000E+00,4.375329E+01,5.460621E+05,7.806907E+05,1.194586E+01,0.000000E+00,4.367639E+01,5.211672E+05,8.063156E+05,7.951043E+00,2.221129E+05,3.975506E+01,1.326281E+05,0.000000E+00,7.951043E+00,0.000000E+00,3.975506E+01,4.860902E+05,6.313202E+05,7.951043E+00,0.000000E+00,3.975506E+01,4.701093E+05,6.467085E+05,1.405460E+01,4.186045E+05,4.219047E+01,0.000000E+00,0.000000E+00,1.335636E+01,0.000000E+00,4.219047E+01,4.915749E+05,7.581709E+05,1.335636E+01,0.000000E+00,4.219047E+01,4.647267E+05,7.893496E+05,1.792052E+01,4.919475E+05,4.129331E+01,0.000000E+00,0.000000E+00,1.580756E+01,0.000000E+00,4.183781E+01,4.946568E+05,8.006262E+05,1.580756E+01,0.000000E+00,4.176038E+01,4.620139E+05,8.341853E+05,8.870640E+00,1.532207E+05,2.405018E+01,0.000000E+00,0.000000E+00,4.811865E+00,0.000000E+00,2.405018E+01,2.882511E+05,3.969723E+05,4.811865E+00,0.000000E+00,2.405018E+01,2.785770E+05,4.135504E+05
01:30:00,3.243562E+01,9.789388E+05,6.479900E+01,0.000000E+00,0.000000E+00,3.070364E+01,0.000000E+00,7.160230E+01,8.625897E+05,1.503216E+06,3.070364E+01,0.000000E+00,7.150365E+01,7.997583E+05,1.558744E+06,1.360764E+01,3.659538E+05,4.343620E+01,0.000000E+00,0.000000E+00,1.194586E+01,0.000000E+00,4.373439E+01,5.449888E+05,7.794091E+05,1.194586E+01,0.000000E+00,4.365745E+01,5.200935E+05,8.026908E+05,7.951043E+00,2.221129E+05,3.975506E+01,1.326281E+05,0.000000E+00,7.951043E+00,0.000000E+00,3.975506E+01,4.855202E+05,6.307540E+05,7.951043E+00,0.000000E+00,3.975506E+01,4.695394E+05,6.446201E+05,1.405822E+01,4.185696E+05,4.219047E+01,0.000000E+00,0.000000E+00,1.335636E+01,0.000000E+00,4.219047E+01,4.906174E+05,7.574382E+05,1.335636E+01,0.000000E+00,4.219047E+01,4.637695E+05,7.859500E+05,1.792249E+01,4.919364E+05,4.129331E+01,0.000000E+00,0.000000E+00,1.580756E+01,0.000000E+00,4.182058E+01,4.933303E+05,7.994983E+05,1.580756E+01,0.000000E+00,4.174322E+01,4.606883E+05,8.299629E+05,8.900618E+00,1.531120E+05,2.405018E+01,0.000000E+00,0.000000E+00,4.811865E+00,0.000000E+00,2.405018E+01,2.879070E+05,3.958261E+05,4.811865E+00,0.000000E+00,2.405018E+01,2.782330E+05,4.113080E+05
01:40:00,3.244463E+01,9.789512E+05,6.479900E+01,0.000000E+00,0.000000E+00,3.070364E+01,0.000000E+00,7.115430E+01,8.591541E+05,1.498444E+06,3.070364E+01,0.000000E+00,7.105831E+01,7.963490E+05,1.548093E+06,1.361654E+01,3.658775E+05,4.343620E+01,0.000000E+00,0.000000E+00,1.194586E+01,0.000000E+00,4.371606E+01,5.439219E+05,7.781617E+05,1.194586E+01,0.000000E+00,4.363908E+01,5.190262E+05,7.991108E+05,7.951043E+00,2.221129E+05,3.975506E+01,1.326281E+05,0.000000E+00,7.951043E+00,0.000000E+00,3.975506E+01,4.849503E+05,6.301875E+05,7.951043E+00,0.000000E+00,3.975506E+01,4.689695E+05,6.425377E+05,1.406178E+01,4.185351E+05,4.219047E+01,0.000000E+00,0.000000E+00,1.335636E+01,0.000000E+00,4.219047E+01,4.896600E+05,7.567043E+05,1.335636E+01,0.000000E+00,4.219047E+01,4.628123E+05,7.825678E+05,1.792442E+01,4.919254E+05,4.129331E+01,0.000000E+00,0.000000E+00,1.580756E+01,0.000000E+00,4.180387E+01,4.920095E+05,7.983752E+05,1.580756E+01,0.000000E+00,4.172659E+01,4.593687E+05,8.257642E+05,8.929975E+00,1.530049E+05,2.405018E+01,0.000000E+00,0.000000E+00,4.811865E+00,0.000000E+00,2.405018E+01,2.875627E+05,3.947627E+05,4.811865E+00,0.000000E+00,2.405018E+01,2.778889E+05,4.091598E+05
